user_input,retrieved_contexts,response,reference,answer_relevancy
what research (or clinical trials) is being done for Gallbladder Cancer ?,[],"Research on gallbladder cancer includes studies to find out how to prevent, detect, diagnose, treat, cure, and improve outcomes of this disease.","New types of treatment are being tested in clinical trials. This summary section describes treatments that are being studied in clinical trials. It may not mention every new treatment being studied. Information about clinical trials is available from the NCI website. Radiation sensitizers Clinical trials are studying ways to improve the effect of radiation therapy on tumor cells, including the following: - Hyperthermia therapy: A treatment in which body tissue is exposed to high temperatures to damage and kill cancer cells or to make cancer cells more sensitive to the effects of radiation therapy and certain anticancer drugs. - Radiosensitizers: Drugs that make tumor cells more sensitive to radiation therapy. Giving radiation therapy together with radiosensitizers may kill more tumor cells. Patients may want to think about taking part in a clinical trial. For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment. Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment. Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward. Patients can enter clinical trials before, during, or after starting their cancer treatment. Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment. Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.",0.8353951845555692
Which microorganisms are targeted by antifungal medications?,[],"Candida, Pseudomonas aeruginosa, and Candida albicans.",Yeasts and fungi.,0.4144798223960592
What are the treatments for Chiari malformation type 1 ?,[],"These treatments may be used to treat Chiari malformations of the cerebellum: Surgery - Surgical removal of the brain tissue that is causing the malformation, followed by repositioning of the brain tissue. This surgery can be performed at any time after birth or during infancy. The procedure is usually done when the child is very young. It is also called cranioplasty. Radiation therapy - A radiation treatment that uses high-energy x-rays to kill cancer cells. This treatment is sometimes given before surgery to shrink the tumor. This treatment is not recommended for children with Chiari malformations because it increases the risk of bleeding in the brain. Medication - Drugs that help control symptoms of Chiari malformations. These drugs include corticosteroids (such as prednisone), anticonvulsants, and antiemetics. Antidepressants and antihistamines may also be prescribed. In some cases, surgery may be needed to relieve symptoms.","How might Chiari malformation type 1 be treated? Some individuals with Chiari malformation type 1 are asymptomatic and do not require treatment. Individuals who have minimal symptoms, without syringomyelia, can typically be treated conservatively. Mild neck pain and headaches can usually be treated with pain medications, muscle relaxants, and the occasional use of a soft collar. Individuals with more severe symptoms may be in need of surgery. Surgery is the only treatment available to correct functional disturbances or halt the progression of damage to the central nervous system. The goals of surgical treatment are decompression of the point where the skull meets the spine (the cervicomedullary junction) and restoration of normal flow of cerebrospinal fluid in the region of the foramen magnum (the hole in the bottom of the skull where the spinal cord passes to connect to the brain). Prognosis after surgery for the condition is generally good and typically depends on the extent of neurological deficits that were present before the surgery. Most individuals have a reduction of symptoms and/or prolonged periods of relative stability. More than one surgery may be needed to treat the condition.",0.789920651572469
What is the function of zinc in wound healing?,[],"Zinc helps maintain proper cell division, which aids in tissue repair.",It aids in cell proliferation and immune function.,0.7177708867085668
What is an unexpected finding for Cranial Nerve II (Optic)?,[],"Vision loss in one eye, often due to optic nerve damage.",Decreased visual acuity or visual field defects.,0.4516027169687854
How does muscle atrophy impact posture?,[],"Muscle atrophy can cause poor balance, leading to falls.","Muscle atrophy weakens muscles, leading to poor posture and an increased risk of falls and injuries.",0.751421379442491
What are the professional responsibilities of nurses in interdisciplinary teams?,[],"Nurses must collaborate with other healthcare professionals, including physicians, pharmacists, dietitians, physical therapists, respiratory therapists, occupational therapists, social workers, and others to provide comprehensive care.","Communication, collaboration, and responsibility.",0.670179504425451
What is (are) Knee Replacement ?,[],"Knee replacement surgery is used to treat severe knee arthritis that has become so bad that it causes pain, swelling, or deformity. The procedure involves removing damaged cartilage from the knee joint and replacing it with an artificial joint made of metal and plastic. This can help relieve symptoms and improve function.","Knee replacement is surgery for people with severe knee damage. Knee replacement can relieve pain and allow you to be more active. Your doctor may recommend it if you have knee pain and medicine and other treatments are not helping you anymore. When you have a total knee replacement, the surgeon removes damaged cartilage and bone from the surface of your knee joint and replaces them with a man-made surface of metal and plastic. In a partial knee replacement, the surgeon only replaces one part of your knee joint. The surgery can cause scarring, blood clots, and, rarely, infections. After a knee replacement, you will no longer be able to do certain activities, such as jogging and high-impact sports.",0.7608630937217088
How can a patient’s breathing affect heart auscultation?,[],"A patient with rapid or shallow breathing may have an irregular heartbeat, which could be misinterpreted as abnormal heart sounds.","Lung sounds can interfere, so the patient may be asked to briefly hold their breath.",0.6854037429221298
What causes Glomerular Diseases ?,[],"Glomerular diseases can be caused by various factors, including genetic mutations, autoimmune disorders, infections, or environmental toxins.","A number of different diseases can result in glomerular disease. It may be the direct result of an infection or a drug toxic to the kidneys, or it may result from a disease that affects the entire body, like diabetes or lupus. Many different kinds of diseases can cause swelling or scarring of the nephron or glomerulus. Sometimes glomerular disease is idiopathic, meaning that it occurs without an apparent associated disease. The categories presented below can overlap: that is, a disease might belong to two or more of the categories. For example, diabetic nephropathy is a form of glomerular disease that can be placed in two categories: systemic diseases, since diabetes itself is a systemic disease, and sclerotic diseases, because the specific damage done to the kidneys is associated with scarring. Autoimmune Diseases When the body's immune system functions properly, it creates protein-like substances called antibodies and immunoglobulins to protect the body against invading organisms. In an autoimmune disease, the immune system creates autoantibodies, which are antibodies or immunoglobulins that attack the body itself. Autoimmune diseases may be systemic and affect many parts of the body, or they may affect only specific organs or regions. Systemic lupus erythematosus (SLE) affects many parts of the body: primarily the skin and joints, but also the kidneys. Because women are more likely to develop SLE than men, some researchers believe that a sex-linked genetic factor may play a part in making a person susceptible, although viral infection has also been implicated as a triggering factor. Lupus nephritis is the name given to the kidney disease caused by SLE, and it occurs when autoantibodies form or are deposited in the glomeruli, causing inflammation. Ultimately, the inflammation may create scars that keep the kidneys from functioning properly. Conventional treatment for lupus nephritis includes a combination of two drugs, cyclophosphamide, a cytotoxic agent that suppresses the immune system, and prednisolone, a corticosteroid used to reduce inflammation. A newer immunosuppressant, mychophenolate mofetil (MMF), has been used instead of cyclophosphamide. Preliminary studies indicate that MMF may be as effective as cyclophosphamide and has milder side effects. Goodpasture's Syndrome involves an autoantibody that specifically targets the kidneys and the lungs. Often, the first indication that patients have the autoantibody is when they cough up blood. But lung damage in Goodpasture's Syndrome is usually superficial compared with progressive and permanent damage to the kidneys. Goodpasture's Syndrome is a rare condition that affects mostly young men but also occurs in women, children, and older adults. Treatments include immunosuppressive drugs and a blood-cleaning therapy called plasmapheresis that removes the autoantibodies. IgA nephropathy is a form of glomerular disease that results when immunoglobulin A (IgA) forms deposits in the glomeruli, where it creates inflammation. IgA nephropathy was not recognized as a cause of glomerular disease until the late 1960s, when sophisticated biopsy techniques were developed that could identify IgA deposits in kidney tissue. The most common symptom of IgA nephropathy is blood in the urine, but it is often a silent disease that may go undetected for many years. The silent nature of the disease makes it difficult to determine how many people are in the early stages of IgA nephropathy, when specific medical tests are the only way to detect it. This disease is estimated to be the most common cause of primary glomerulonephritisthat is, glomerular disease not caused by a systemic disease like lupus or diabetes mellitus. It appears to affect men more than women. Although IgA nephropathy is found in all age groups, young people rarely display signs of kidney failure because the disease usually takes several years to progress to the stage where it causes detectable complications. No treatment is recommended for early or mild cases of IgA nephropathy when the patient has normal blood pressure and less than 1 gram of protein in a 24-hour urine output. When proteinuria exceeds 1 gram/day, treatment is aimed at protecting kidney function by reducing proteinuria and controlling blood pressure. Blood pressure medicinesangiotensinconverting enzyme inhibitors (ACE inhibitors) or angiotensin receptor blockers (ARBs)that block a hormone called angiotensin are most effective at achieving those two goals simultaneously. Hereditary NephritisAlport Syndrome The primary indicator of Alport syndrome is a family history of chronic glomerular disease, although it may also involve hearing or vision impairment. This syndrome affects both men and women, but men are more likely to experience chronic kidney disease and sensory loss. Men with Alport syndrome usually first show evidence of renal insufficiency while in their twenties and reach total kidney failure by age 40. Women rarely have significant renal impairment, and hearing loss may be so slight that it can be detected only through testing with special equipment. Usually men can pass the disease only to their daughters. Women can transmit the disease to either their sons or their daughters. Treatment focuses on controlling blood pressure to maintain kidney function. Infection-related Glomerular Disease Glomerular disease sometimes develops rapidly after an infection in other parts of the body. Acute post-streptococcal glomerulonephritis (PSGN) can occur after an episode of strep throat or, in rare cases, impetigo (a skin infection). The Streptococcus bacteria do not attack the kidney directly, but an infection may stimulate the immune system to overproduce antibodies, which are circulated in the blood and finally deposited in the glomeruli, causing damage. PSGN can bring on sudden symptoms of swelling (edema), reduced urine output (oliguria), and blood in the urine (hematuria). Tests will show large amounts of protein in the urine and elevated levels of creatinine and urea nitrogen in the blood, thus indicating reduced kidney function. High blood pressure frequently accompanies reduced kidney function in this disease. PSGN is most common in children between the ages of 3 and 7, although it can strike at any age, and it most often affects boys. It lasts only a brief time and usually allows the kidneys to recover. In a few cases, however, kidney damage may be permanent, requiring dialysis or transplantation to replace renal function. Bacterial endocarditis, infection of the tissues inside the heart, is also associated with subsequent glomerular disease. Researchers are not sure whether the renal lesions that form after a heart infection are caused entirely by the immune response or whether some other disease mechanism contributes to kidney damage. Treating the heart infection is the most effective way of minimizing kidney damage. Endocarditis sometimes produces chronic kidney disease (CKD). HIV, the virus that leads to AIDS, can also cause glomerular disease. Between 5 and 10 percent of people with HIV experience kidney failure, even before developing full-blown AIDS. HIV-associated nephropathy usually begins with heavy proteinuria and progresses rapidly (within a year of detection) to total kidney failure. Researchers are looking for therapies that can slow down or reverse this rapid deterioration of renal function, but some possible solutions involving immunosuppression are risky because of the patients' already compromised immune system. Sclerotic Diseases Glomerulosclerosis is scarring (sclerosis) of the glomeruli. In several sclerotic conditions, a systemic disease like lupus or diabetes is responsible. Glomerulosclerosis is caused by the activation of glomerular cells to produce scar material. This may be stimulated by molecules called growth factors, which may be made by glomerular cells themselves or may be brought to the glomerulus by the circulating blood that enters the glomerular filter. Diabetic nephropathy is the leading cause of glomerular disease and of total kidney failure in the United States. Kidney disease is one of several problems caused by elevated levels of blood glucose, the central feature of diabetes. In addition to scarring the kidney, elevated glucose levels appear to increase the speed of blood flow into the kidney, putting a strain on the filtering glomeruli and raising blood pressure. Diabetic nephropathy usually takes many years to develop. People with diabetes can slow down damage to their kidneys by controlling their blood glucose through healthy eating with moderate protein intake, physical activity, and medications. People with diabetes should also be careful to keep their blood pressure at a level below 140/90 mm Hg, if possible. Blood pressure medications called ACE inhibitors and ARBs are particularly effective at minimizing kidney damage and are now frequently prescribed to control blood pressure in patients with diabetes and in patients with many forms of kidney disease. Focal segmental glomerulosclerosis (FSGS) describes scarring in scattered regions of the kidney, typically limited to one part of the glomerulus and to a minority of glomeruli in the affected region. FSGS may result from a systemic disorder or it may develop as an idiopathic kidney disease, without a known cause. Proteinuria is the most common symptom of FSGS, but, since proteinuria is associated with several other kidney conditions, the doctor cannot diagnose FSGS on the basis of proteinuria alone. Biopsy may confirm the presence of glomerular scarring if the tissue is taken from the affected section of the kidney. But finding the affected section is a matter of chance, especially early in the disease process, when lesions may be scattered. Confirming a diagnosis of FSGS may require repeat kidney biopsies. Arriving at a diagnosis of idiopathic FSGS requires the identification of focal scarring and the elimination of possible systemic causes such as diabetes or an immune response to infection. Since idiopathic FSGS is, by definition, of unknown cause, it is difficult to treat. No universal remedy has been found, and most patients with FSGS progress to total kidney failure over 5 to 20 years. Some patients with an aggressive form of FSGS reach total kidney failure in 2 to 3 years. Treatments involving steroids or other immunosuppressive drugs appear to help some patients by decreasing proteinuria and improving kidney function. But these treatments are beneficial to only a minority of those in whom they are tried, and some patients experience even poorer kidney function as a result. ACE inhibitors and ARBs may also be used in FSGS to decrease proteinuria. Treatment should focus on controlling blood pressure and blood cholesterol levels, factors that may contribute to kidney scarring. Other Glomerular Diseases Membranous nephropathy, also called membranous glomerulopathy, is the second most common cause of the nephrotic syndrome (proteinuria, edema, high cholesterol) in U.S. adults after diabetic nephropathy. Diagnosis of membranous nephropathy requires a kidney biopsy, which reveals unusual deposits of immunoglobulin G and complement C3, substances created by the body's immune system. Fully 75 percent of cases are idiopathic, which means that the cause of the disease is unknown. The remaining 25 percent of cases are the result of other diseases like systemic lupus erythematosus, hepatitis B or C infection, or some forms of cancer. Drug therapies involving penicillamine, gold, or captopril have also been associated with membranous nephropathy. About 20 to 40 percent of patients with membranous nephropathy progress, usually over decades, to total kidney failure, but most patients experience either complete remission or continued symptoms without progressive kidney failure. Doctors disagree about how aggressively to treat this condition, since about 20 percent of patients recover without treatment. ACE inhibitors and ARBs are generally used to reduce proteinuria. Additional medication to control high blood pressure and edema is frequently required. Some patients benefit from steroids, but this treatment does not work for everyone. Additional immunosuppressive medications are helpful for some patients with progressive disease. Minimal change disease (MCD) is the diagnosis given when a patient has the nephrotic syndrome and the kidney biopsy reveals little or no change to the structure of glomeruli or surrounding tissues when examined by a light microscope. Tiny drops of a fatty substance called a lipid may be present, but no scarring has taken place within the kidney. MCD may occur at any age, but it is most common in childhood. A small percentage of patients with idiopathic nephrotic syndrome do not respond to steroid therapy. For these patients, the doctor may recommend a low-sodium diet and prescribe a diuretic to control edema. The doctor may recommend the use of nonsteroidal anti-inflammatory drugs to reduce proteinuria. ACE inhibitors and ARBs have also been used to reduce proteinuria in patients with steroid-resistant MCD. These patients may respond to larger doses of steroids, more prolonged use of steroids, or steroids in combination with immunosuppressant drugs, such as chlorambucil, cyclophosphamide, or cyclosporine.",0.9718369194095678
What is (are) Cirrhosis ?,[],"Cirrhosis is a chronic liver disease that causes scarring of the liver tissue. It can be caused by various factors, including alcohol abuse, viral hepatitis, and certain medications. Symptoms may include fatigue, weight loss, abdominal pain, jaundice, and spider angiomas. Treatment depends on the underlying cause and severity of cirrhosis.","Cirrhosis is scarring of the liver. Scar tissue forms because of injury or long-term disease. Scar tissue cannot do what healthy liver tissue does - make protein, help fight infections, clean the blood, help digest food and store energy. Cirrhosis can lead to - Easy bruising or bleeding, or nosebleeds - Swelling of the abdomen or legs - Extra sensitivity to medicines - High blood pressure in the vein entering the liver - Enlarged veins called varices in the esophagus and stomach. Varices can bleed suddenly. - Kidney failure - Jaundice - Severe itching - Gallstones A small number of people with cirrhosis get liver cancer. Your doctor will diagnose cirrhosis with blood tests, imaging tests, or a biopsy. Cirrhosis has many causes. In the United States, the most common causes are chronic alcoholism and hepatitis. Nothing will make the scar tissue disappear, but treating the cause can keep it from getting worse. If too much scar tissue forms, you may need to consider a liver transplant. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",0.7735020439006864
What is the Bristol Stool Chart used for?,[],"To help identify constipation by tracking changes in stool frequency, consistency, color, odor, and volume.",Classifying stool consistency to assess bowel health.,0.3636386094052088
What are the limitations of a nasal cannula?,[],It may not provide adequate oxygenation for some patients.,"It can be easily dislodged, cause skin breakdown, and is less effective for mouth breathers or patients with nasal obstruction.",
Is Cornelia de Lange syndrome inherited ?,[],"Cornelia de Lange syndrome is an autosomal recessive condition, which means both parents must have the mutation for the child to be affected.","Is Cornelia de Lange syndrome inherited? Cornelia de Lange syndrome (CdLS) can be inherited in an autosomal dominant (NIPBL, SMC2, or RAD21) or X-linked (SMC1A or HDAC8) manner depending on the underlying genetic cause. However, most cases (more than 99%) result from new (de novo) mutations and occur in people with no family history of the condition.",
Why is it important to provide privacy for patients with bowel incontinence?,[],"To ensure patient comfort, dignity, and safety during treatment.",A private and comfortable setting can help them feel relaxed and reduce accidents.,
Why must the dosage of combination respiratory medications be verified?,[],To ensure accurate dosing and prevent adverse effects.,"They may contain more than one drug, such as bronchodilators and corticosteroids.",0.6783878700114387
What are the treatments for Surviving Cancer ?,[],"There is no cure for cancer, but treatment can help control symptoms and improve quality of life. Treatment options include surgery, radiation therapy, chemotherapy, hormone therapy, targeted therapy, immunotherapy, and clinical trials.","Certain kinds of chemotherapy and medicines contribute to weight gain. Unfortunately, the usual ways people try to lose weight may not work. Ask your doctor about talking with a nutritionist who can help you plan a healthy diet, and about doing exercises that can help you regain muscle tone.",0.7439269263084712
How do you convert 12:00 PM to military time?,[],12:00 PM is 6 AM in military time.,12:00 PM in military time is 1200.,0.8706629042197819
How is this condition currently being treated?,[],"Currently, treatment for chronic myelogenous leukemia (CML) involves chemotherapy and stem cell transplantation.","I take metformin, monitor my blood sugar daily, and follow a low-carb diet.",0.263450936732699
Which receptor does dopamine stimulate at high doses?,[],"Dopamine stimulates the mesocortical nucleus of the midbrain, which is involved in motor control.",Beta-1 receptors in the heart,0.7265319345841981
What causes Causes of Diabetes ?,[],"Diabetes can be caused by genetic, lifestyle, or both factors. Genetic factors include inherited mutations in genes that control blood glucose levels. Lifestyle factors include diet, exercise, stress, and smoking.","Type 2 diabetesthe most common form of diabetesis caused by a combination of factors, including insulin resistance, a condition in which the bodys muscle, fat, and liver cells do not use insulin effectively. Type 2 diabetes develops when the body can no longer produce enough insulin to compensate for the impaired ability to use insulin. Symptoms of type 2 diabetes may develop gradually and can be subtle; some people with type 2 diabetes remain undiagnosed for years. Type 2 diabetes develops most often in middle-aged and older people who are also overweight or obese. The disease, once rare in youth, is becoming more common in overweight and obese children and adolescents. Scientists think genetic susceptibility and environmental factors are the most likely triggers of type 2 diabetes. Genetic Susceptibility Genes play a significant part in susceptibility to type 2 diabetes. Having certain genes or combinations of genes may increase or decrease a persons risk for developing the disease. The role of genes is suggested by the high rate of type 2 diabetes in families and identical twins and wide variations in diabetes prevalence by ethnicity. Type 2 diabetes occurs more frequently in African Americans, Alaska Natives, American Indians, Hispanics/Latinos, and some Asian Americans, Native Hawaiians, and Pacific Islander Americans than it does in non-Hispanic whites. Recent studies have combined genetic data from large numbers of people, accelerating the pace of gene discovery. Though scientists have now identified many gene variants that increase susceptibility to type 2 diabetes, the majority have yet to be discovered. The known genes appear to affect insulin production rather than insulin resistance. Researchers are working to identify additional gene variants and to learn how they interact with one another and with environmental factors to cause diabetes. Studies have shown that variants of the TCF7L2 gene increase susceptibility to type 2 diabetes. For people who inherit two copies of the variants, the risk of developing type 2 diabetes is about 80 percent higher than for those who do not carry the gene variant.1 However, even in those with the variant, diet and physical activity leading to weight loss help delay diabetes, according to the Diabetes Prevention Program (DPP), a major clinical trial involving people at high risk. Genes can also increase the risk of diabetes by increasing a persons tendency to become overweight or obese. One theory, known as the thrifty gene hypothesis, suggests certain genes increase the efficiency of metabolism to extract energy from food and store the energy for later use. This survival trait was advantageous for populations whose food supplies were scarce or unpredictable and could help keep people alive during famine. In modern times, however, when high-calorie foods are plentiful, such a trait can promote obesity and type 2 diabetes. Obesity and Physical Inactivity Physical inactivity and obesity are strongly associated with the development of type 2 diabetes. People who are genetically susceptible to type 2 diabetes are more vulnerable when these risk factors are present. An imbalance between caloric intake and physical activity can lead to obesity, which causes insulin resistance and is common in people with type 2 diabetes. Central obesity, in which a person has excess abdominal fat, is a major risk factor not only for insulin resistance and type 2 diabetes but also for heart and blood vessel disease, also called cardiovascular disease (CVD). This excess belly fat produces hormones and other substances that can cause harmful, chronic effects in the body such as damage to blood vessels. The DPP and other studies show that millions of people can lower their risk for type 2 diabetes by making lifestyle changes and losing weight. The DPP proved that people with prediabetesat high risk of developing type 2 diabetescould sharply lower their risk by losing weight through regular physical activity and a diet low in fat and calories. In 2009, a follow-up study of DPP participantsthe Diabetes Prevention Program Outcomes Study (DPPOS)showed that the benefits of weight loss lasted for at least 10 years after the original study began.2 Read more about the DPP, funded under National Institutes of Health (NIH) clinical trial number NCT00004992, and the DPPOS, funded under NIH clinical trial number NCT00038727 in Diabetes Prevention Program. Insulin Resistance Insulin resistance is a common condition in people who are overweight or obese, have excess abdominal fat, and are not physically active. Muscle, fat, and liver cells stop responding properly to insulin, forcing the pancreas to compensate by producing extra insulin. As long as beta cells are able to produce enough insulin, blood glucose levels stay in the normal range. But when insulin production falters because of beta cell dysfunction, glucose levels rise, leading to prediabetes or diabetes. Abnormal Glucose Production by the Liver In some people with diabetes, an abnormal increase in glucose production by the liver also contributes to high blood glucose levels. Normally, the pancreas releases the hormone glucagon when blood glucose and insulin levels are low. Glucagon stimulates the liver to produce glucose and release it into the bloodstream. But when blood glucose and insulin levels are high after a meal, glucagon levels drop, and the liver stores excess glucose for later, when it is needed. For reasons not completely understood, in many people with diabetes, glucagon levels stay higher than needed. High glucagon levels cause the liver to produce unneeded glucose, which contributes to high blood glucose levels. Metformin, the most commonly used drug to treat type 2 diabetes, reduces glucose production by the liver. The Roles of Insulin and Glucagon in Normal Blood Glucose Regulation A healthy persons body keeps blood glucose levels in a normal range through several complex mechanisms. Insulin and glucagon, two hormones made in the pancreas, help regulate blood glucose levels: - Insulin, made by beta cells, lowers elevated blood glucose levels. - Glucagon, made by alpha cells, raises low blood glucose levels. - Insulin helps muscle, fat, and liver cells absorb glucose from the bloodstream, lowering blood glucose levels. - Insulin stimulates the liver and muscle tissue to store excess glucose. The stored form of glucose is called glycogen. - Insulin also lowers blood glucose levels by reducing glucose production in the liver. - Glucagon signals the liver and muscle tissue to break down glycogen into glucose, which enters the bloodstream and raises blood glucose levels. - If the body needs more glucose, glucagon stimulates the liver to make glucose from amino acids. Metabolic Syndrome Metabolic syndrome, also called insulin resistance syndrome, refers to a group of conditions common in people with insulin resistance, including - higher than normal blood glucose levels - increased waist size due to excess abdominal fat - high blood pressure - abnormal levels of cholesterol and triglycerides in the blood Cell Signaling and Regulation Cells communicate through a complex network of molecular signaling pathways. For example, on cell surfaces, insulin receptor molecules capture, or bind, insulin molecules circulating in the bloodstream. This interaction between insulin and its receptor prompts the biochemical signals that enable the cells to absorb glucose from the blood and use it for energy. Problems in cell signaling systems can set off a chain reaction that leads to diabetes or other diseases. Many studies have focused on how insulin signals cells to communicate and regulate action. Researchers have identified proteins and pathways that transmit the insulin signal and have mapped interactions between insulin and body tissues, including the way insulin helps the liver control blood glucose levels. Researchers have also found that key signals also come from fat cells, which produce substances that cause inflammation and insulin resistance. This work holds the key to combating insulin resistance and diabetes. As scientists learn more about cell signaling systems involved in glucose regulation, they will have more opportunities to develop effective treatments. Beta Cell Dysfunction Scientists think beta cell dysfunction is a key contributor to type 2 diabetes. Beta cell impairment can cause inadequate or abnormal patterns of insulin release. Also, beta cells may be damaged by high blood glucose itself, a condition called glucose toxicity. Scientists have not determined the causes of beta cell dysfunction in most cases. Single gene defects lead to specific forms of diabetes called maturity-onset diabetes of the young (MODY). The genes involved regulate insulin production in the beta cells. Although these forms of diabetes are rare, they provide clues as to how beta cell function may be affected by key regulatory factors. Other gene variants are involved in determining the number and function of beta cells. But these variants account for only a small percentage of type 2 diabetes cases. Malnutrition early in life is also being investigated as a cause of beta cell dysfunction. The metabolic environment of the developing fetus may also create a predisposition for diabetes later in life. Risk Factors for Type 2 Diabetes People who develop type 2 diabetes are more likely to have the following characteristics: - age 45 or older - overweight or obese - physically inactive - parent or sibling with diabetes - family background that is African American, Alaska Native, American Indian, Asian American, Hispanic/Latino, or Pacific Islander American - history of giving birth to a baby weighing more than 9 pounds - history of gestational diabetes - high blood pressure140/90 or aboveor being treated for high blood pressure - high-density lipoprotein (HDL), or good, cholesterol below 35 milligrams per deciliter (mg/dL), or a triglyceride level above 250 mg/dL - polycystic ovary syndrome, also called PCOS - prediabetesan A1C level of 5.7 to 6.4 percent; a fasting plasma glucose test result of 100125 mg/dL, called impaired fasting glucose; or a 2-hour oral glucose tolerance test result of 140199, called impaired glucose tolerance - acanthosis nigricans, a condition associated with insulin resistance, characterized by a dark, velvety rash around the neck or armpits - history of CVD The American Diabetes Association (ADA) recommends that testing to detect prediabetes and type 2 diabetes be considered in adults who are overweight or obese and have one or more additional risk factors for diabetes. In adults without these risk factors, testing should begin at age 45.",0.9554813005659716
What are the treatments for Mitochondrial genetic disorders ?,[],"These disorders can be treated with medications, gene therapy, or stem cell transplantation.","How might mitochondrial genetic disorders be treated? Treatment for mitochondrial genetic disorders varies significantly based on the specific type of condition and the signs and symptoms present in each person. The primary aim of treatment is to alleviate symptoms and slow the progression of the condition. For example, a variety of vitamins and other supplements have been used to treat people affected by mitochondrial conditions with varying degrees of success. Other examples of possible interventions include medications to treat diabetes mellitus, surgery for cataracts, and cochlear implantation for hearing loss. For more general information about the treatment of mitochondrial genetic disorders, please visit GeneReviews.",0.6065829614009361
How to diagnose Retinoblastoma ?,[],"Diagnosis is typically based on clinical findings, imaging studies (such as CT or MRI), and sometimes genetic testing.","The following tests and procedures may be used: - Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease, such as lumps or anything else that seems unusual. A history of the patients health habits and past illnesses and treatments will also be taken. The doctor will ask if there is a family history of retinoblastoma. - Eye exam with dilated pupil: An exam of the eye in which the pupil is dilated (opened wider) with medicated eye drops to allow the doctor to look through the lens and pupil to the retina. The inside of the eye, including the retina and the optic nerve, is examined with a light. Depending on the age of the child, this exam may be done under anesthesia. There are several types of eye exams that are done with the pupil dilated: - Ophthalmoscopy : An exam of the inside of the back of the eye to check the retina and optic nerve using a small magnifying lens and a light. - Slit-lamp biomicroscopy : An exam of the inside of the eye to check the retina, optic nerve, and other parts of the eye using a strong beam of light and a microscope. - Fluorescein angiography : A procedure to look at blood vessels and the flow of blood inside the eye. An orange fluorescent dye called fluorescein is injected into a blood vessel in the arm and goes into the bloodstream. As the dye travels through blood vessels of the eye, a special camera takes pictures of the retina and choroid to find any blood vessels that are blocked or leaking. - RB1 gene test: A laboratory test in which a sample of blood or tissue is tested for a change in the RB1 gene. - Ultrasound exam of the eye: A procedure in which high-energy sound waves (ultrasound) are bounced off the internal tissues of the eye to make echoes. Eye drops are used to numb the eye and a small probe that sends and receives sound waves is placed gently on the surface of the eye. The echoes make a picture of the inside of the eye and the distance from the cornea to the retina is measured. The picture, called a sonogram, shows on the screen of the ultrasound monitor. The picture can be printed to be looked at later. - MRI (magnetic resonance imaging): A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the body, such as the eye. This procedure is also called nuclear magnetic resonance imaging (NMRI). - CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, such as the eye, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography. Retinoblastoma can usually be diagnosed without a biopsy. When retinoblastoma is in one eye, it sometimes forms in the other eye. Exams of the unaffected eye are done until it is known if the retinoblastoma is the heritable form.",0.3265004687617589
What are the guidelines for tapering prednisone therapy?,[],Prednisone should be tapered gradually to prevent rebound effects.,Gradual tapering is required to prevent adrenal insufficiency.,0.8483445819283859
what research (or clinical trials) is being done for Leukemia ?,[],"The National Cancer Institute conducts basic research on leukemia, including studies of how leukemia develops in the body. The Center for Cancer Research at the University of Chicago also conducts basic research on leukemia.","Clinical trials are research studies in which new treatments -- drugs, diagnostics, procedures, vaccines, and other therapies -- are tested in people to see if they are safe, effective, and better than the current standard of care. Clinical trials often compare a new treatment with a standard treatment to determine which one gives better results. People with leukemia who are interested in taking part in a clinical trial should contact their doctor or go to  www.clinical trials.gov and search ""leukemia.""",0.566569811575821
What is a major adverse effect of adefovir?,[],"Severe liver damage, requiring liver transplantation.",Severe hepatomegaly,0.3748838733958731
